closure-compiler-1	6362	256275	107674	860	13999	291	963	624	15483	1878
closure-compiler-10	19223	385645	155174	1778	4937	118	695	2783	9498	3596
closure-compiler-118	6229	468011	176216	491	7637	76	248	1311	9439	1635
closure-compiler-125	5177	347358	139623	141	1335	5	108	417	1893	530
closure-compiler-51	791	4500	3479	0	29	0	4	54	83	58
closure-compiler-62	4	164	107	1	7	1	2	1	9	4
closure-compiler-63	90	560	323	1	7	1	2	77	85	80
closure-compiler-73	18	4486	3452	0	18	0	4	7	25	11
closure-compiler-86	556	1127	814	95	166	0	17	160	421	177
closure-compiler-92	1479	23151	7330	1051	2830	617	654	279	4160	1550
closure-compiler-93	1479	23194	7198	1051	2767	617	642	279	4097	1538
commons-lang3-24	161	1253	464	30	261	7	111	6	297	124
commons-lang3-26	16	410	113	8	89	8	7	43	140	58
commons-lang3-6	240	385	250	68	51	44	21	57	176	122
commons-math-75	3	3	5	1	0	1	0	35	36	36
commons-math-80	752	522	241	519	48	283	8	100	667	391
commons-math-82	295	1215	806	5	42	3	12	80	127	95
commons-math-85	157	238	165	0	10	0	3	39	49	42
commons-math3-33	790	1707	970	3	25	3	10	56	84	69
commons-math3-5	12	68	22	4	24	4	4	0	28	8
jfreechart-1	1222	7898	1488	873	2526	816	125	193	3592	1134
jfreechart-11	56	465	265	0	2	0	1	8	10	9
jfreechart-24	56	9	11	34	0	14	0	26	60	40
jfreechart-9	25	107	71	0	1	0	1	3	4	4
