[12:39:35]	[SEARCH_FIX]:	search for:org/jfree/data/time/TimeSeries:createCopy:(Lorg/jfree/data/time/RegularTimePeriod;Lorg/jfree/data/time/RegularTimePeriod;)Lorg/jfree/data/time/TimeSeries;line 921 - 921
[12:39:36]	[CORRECT_TC_FILTER_START]:	Iterate 1
[12:39:36]	[FILTER_DEAD]:	!data.isEmpty():true;expected:false
[12:39:36]	[FILTER_SURVIVE]:	data.isEmpty():false;expected:false
[12:39:36]	[FILTER_DEAD]:	start!=null:true;start == null:false
[12:39:36]	[CORRECT_TC_FILTER_FINISHED]:	Iterate 1
[12:39:36]	[CORRECT_TC_FILTER_START]:	Iterate 2
[12:39:36]	[FILTER_SURVIVE]:	data.isEmpty():false;expected:false
[12:39:36]	[CORRECT_TC_FILTER_FINISHED]:	Iterate 2
[12:39:36]	[CORRECT_TC_FILTER_START]:	Iterate 3
[12:39:36]	[FILTER_SURVIVE]:	data.isEmpty():false;expected:false
[12:39:36]	[CORRECT_TC_FILTER_FINISHED]:	Iterate 3
[12:39:36]	[CORRECT_TC_FILTER_START]:	Iterate 4
[12:39:36]	[FILTER_SURVIVE]:	data.isEmpty():false;expected:false
[12:39:36]	[CORRECT_TC_FILTER_FINISHED]:	Iterate 4
[12:39:36]	[CORRECT_TC_FILTER_START]:	Iterate 5
[12:39:36]	[FILTER_SURVIVE]:	data.isEmpty():false;expected:false
[12:39:36]	[CORRECT_TC_FILTER_FINISHED]:	Iterate 5
[12:39:36]	[FAIL_TC_FILTER_START]:	survive count:0
[12:39:36]	[FILTER_DEAD]:	data.isEmpty():false;not expected:false
[12:39:36]	[FAIL_TC_FILTER_FINISHED]:	survive count:0
[12:39:36]	[FAIL_TC_FILTER_SPLIT_FINISHED]:	#false:1	
[12:39:36]	[SEARCH_FIX]:	search for:org/jfree/data/time/TimeSeries:createCopy:(Lorg/jfree/data/time/RegularTimePeriod;Lorg/jfree/data/time/RegularTimePeriod;)Lorg/jfree/data/time/TimeSeries;line 927 - 927
[12:39:36]	[CORRECT_TC_FILTER_START]:	Iterate 1
[12:39:36]	[FILTER_DEAD]:	!data.isEmpty():true;expected:false
[12:39:37]	[FILTER_SURVIVE]:	data.isEmpty():false;expected:false
[12:39:37]	[FILTER_SURVIVE]:	start.compareTo(end)==0:false;start.compareTo(end) > 0:false
[12:39:37]	[FILTER_SURVIVE]:	start.compareTo(end)>=0:false;start.compareTo(end) > 0:false
[12:39:37]	[FILTER_DEAD]:	start.compareTo(end)<0:true;start.compareTo(end) > 0:false
[12:39:37]	[FILTER_DEAD]:	start.compareTo(end)<=0:true;start.compareTo(end) > 0:false
[12:39:37]	[FILTER_DEAD]:	start.compareTo(end)!=0:true;start.compareTo(end) > 0:false
[12:39:37]	[CORRECT_TC_FILTER_FINISHED]:	Iterate 1
[12:39:37]	[CORRECT_TC_FILTER_START]:	Iterate 2
[12:39:37]	[FILTER_SURVIVE]:	data.isEmpty():false;expected:false
[12:39:37]	[FILTER_SURVIVE]:	start.compareTo(end)==0:false;start.compareTo(end) > 0:false
[12:39:37]	[FILTER_SURVIVE]:	start.compareTo(end)>=0:false;start.compareTo(end) > 0:false
[12:39:37]	[CORRECT_TC_FILTER_FINISHED]:	Iterate 2
[12:39:37]	[CORRECT_TC_FILTER_START]:	Iterate 3
[12:39:37]	[FILTER_SURVIVE]:	data.isEmpty():false;expected:false
[12:39:37]	[FILTER_SURVIVE]:	start.compareTo(end)==0:false;start.compareTo(end) > 0:false
[12:39:37]	[FILTER_SURVIVE]:	start.compareTo(end)>=0:false;start.compareTo(end) > 0:false
[12:39:37]	[CORRECT_TC_FILTER_FINISHED]:	Iterate 3
[12:39:37]	[CORRECT_TC_FILTER_START]:	Iterate 4
[12:39:37]	[FILTER_SURVIVE]:	data.isEmpty():false;expected:false
[12:39:37]	[FILTER_SURVIVE]:	start.compareTo(end)==0:false;start.compareTo(end) > 0:false
[12:39:37]	[FILTER_SURVIVE]:	start.compareTo(end)>=0:false;start.compareTo(end) > 0:false
[12:39:37]	[CORRECT_TC_FILTER_FINISHED]:	Iterate 4
[12:39:37]	[CORRECT_TC_FILTER_START]:	Iterate 5
[12:39:37]	[FILTER_SURVIVE]:	data.isEmpty():false;expected:false
[12:39:37]	[FILTER_SURVIVE]:	start.compareTo(end)==0:false;start.compareTo(end) > 0:false
[12:39:37]	[FILTER_SURVIVE]:	start.compareTo(end)>=0:false;start.compareTo(end) > 0:false
[12:39:37]	[CORRECT_TC_FILTER_FINISHED]:	Iterate 5
[12:39:37]	[FAIL_TC_FILTER_START]:	survive count:0
[12:39:37]	[FILTER_DEAD]:	data.isEmpty():false;not expected:false
[12:39:37]	[FILTER_DEAD]:	start.compareTo(end)==0:false;start.compareTo(end) > 0:false
[12:39:37]	[FILTER_DEAD]:	start.compareTo(end)>=0:false;start.compareTo(end) > 0:false
[12:39:37]	[FAIL_TC_FILTER_FINISHED]:	survive count:0
[12:39:37]	[FAIL_TC_FILTER_SPLIT_FINISHED]:	#false:3	
